date,transactions
7/31/2018,1983959
7/17/2019,2527488
9/10/2019,2312120
1/5/2020,2498866
8/2/2021,1951005
12/30/2021,2460618
3/27/2022,2039802
5/26/2023,2256715
12/27/2023,1975193
6/17/2019,2485622
6/20/2019,2485041
12/27/2019,2769678
3/8/2020,2530741
5/4/2020,1668216
2/20/2021,1958955
10/25/2021,1978981
10/31/2021,2120485
6/7/2022,2059107
9/14/2022,1968061
12/27/2022,2112383
12/8/2023,2123209
7/1/2018,2176483
7/2/2019,2651293
7/9/2019,2429944
11/28/2019,2921952
11/18/2020,1742648
12/19/2020,2312220
1/9/2021,1931756
11/8/2021,2031795
5/5/2022,2081536
5/10/2023,1830604
6/16/2023,2188061
8/9/2018,2089933
8/26/2018,2171276
4/3/2020,1704108
7/16/2020,1666967
5/28/2022,2551684
7/3/2022,2307129
7/8/2022,2305150
12/15/2022,2251276
12/24/2022,2017556
2/11/2023,2067508
2/24/2023,1878472
5/29/2023,1861121
3/23/2024,2000164
3/16/2019,2817734
9/21/2019,2680293
11/23/2019,3012543
3/30/2020,1452316
6/22/2020,1888278
4/13/2021,1770732
4/17/2021,2007330
5/23/2021,2054936
10/3/2021,2030001
10/10/2022,2017901
5/12/2023,2159772
5/25/2023,2017357
1/4/2024,1800486
2/26/2019,2190939
4/23/2019,2272269
11/24/2019,2853901
7/25/2020,1728088
10/24/2021,2111607
12/11/2021,2411750
7/17/2022,2126026
1/22/2024,1697769
2/7/2024,1717105
11/7/2018,1903060
4/27/2020,1529557
11/4/2020,1533722
1/1/2021,1323211
3/8/2021,1716844
3/8/2022,1943518
4/30/2022,2269758
9/1/2022,2135002
8/7/2019,2448698
9/11/2020,1692573
4/6/2021,1755927
10/21/2021,2035998
12/13/2021,2272907
8/28/2022,2222034
11/3/2022,2020537
5/23/2023,1889250
1/24/2024,1650024
7/1/2019,2676959
11/5/2019,2284665
8/15/2020,1728390
12/15/2020,1887136
1/3/2022,2084714
8/23/2022,2015555
1/31/2023,1779190
1/15/2024,1629374
12/5/2018,1994111
12/27/2018,2100381
2/6/2019,1661472
5/9/2019,2435434
1/6/2020,2346784
2/20/2020,2204779
4/15/2020,1506388
5/11/2020,1582500
6/24/2020,1929870
9/5/2020,1763261
9/22/2020,1490601
9/25/2020,1695601
12/31/2020,2265281
1/26/2021,1419401
1/30/2021,2205220
2/8/2021,1599261
2/8/2022,1929798
2/14/2022,2076483
2/27/2022,2079615
7/4/2022,1956156
7/9/2018,2094077
11/28/2018,1958182
2/16/2019,2455907
11/17/2019,2642630
2/22/2020,2702638
6/7/2020,2117007
2/9/2021,1636897
5/6/2021,1870092
9/7/2021,1860406
9/24/2021,2052651
12/3/2021,2365207
1/10/2024,1724113
9/26/2018,1957613
11/13/2018,1965399
1/14/2019,1910108
3/17/2020,2104859
5/2/2020,1812720
7/17/2020,1810386
2/11/2021,1743137
10/9/2023,1877060
10/18/2023,1754690
11/28/2023,1748099
10/26/2019,2666670
2/10/2020,2292288
3/23/2021,1745941
6/9/2021,1953825
6/14/2021,1975225
11/2/2021,1985889
2/13/2022,2258748
9/2/2022,2404635
11/11/2022,2309091
2/21/2023,1809993
5/11/2023,1928494
12/16/2018,2302666
4/23/2022,2235966
2/4/2023,2183069
2/9/2023,1637208
9/7/2023,1841284
12/6/2023,1841166
11/30/2018,2347919
3/27/2020,1651291
7/7/2020,1646895
4/18/2021,1907942
2/9/2022,1959678
10/4/2022,1977868
4/4/2024,1775695
8/21/2018,2044935
9/12/2018,1979152
5/7/2019,2380540
7/11/2020,1782233
11/20/2020,1941584
10/6/2021,1888873
12/25/2021,4236
3/18/2024,1737256
5/30/2019,2436181
12/20/2019,3427232
9/18/2020,1717194
7/14/2021,1962527
7/27/2021,1926452
10/16/2021,2305631
7/21/2022,2151202
8/1/2022,2110826
1/3/2023,1948203
4/25/2023,1727721
6/14/2023,1908228
9/27/2018,1951984
2/3/2019,2094991
4/17/2019,2408243
2/17/2021,1654819
2/25/2021,1710382
8/11/2021,1921944
11/14/2021,2212831
1/25/2022,1931112
2/20/2022,2061460
6/9/2022,2151663
5/8/2023,1849684
7/3/2023,2218453
2/13/2024,1968180
10/3/2018,1989013
9/28/2020,1502526
12/28/2020,1815359
9/17/2021,2104476
4/11/2022,1998231
6/15/2023,1932055
1/23/2024,1452341
7/15/2018,2130085
9/2/2019,2605762
11/8/2019,2689328
8/1/2020,1730448
8/9/2022,2037225
12/3/2022,2355830
6/3/2023,2122509
8/27/2023,1979501
9/13/2023,1778015
10/29/2018,2024040
9/25/2018,1908956
9/29/2018,2275424
9/9/2019,2426283
12/30/2019,2690389
2/5/2020,2224905
2/24/2020,2269175
5/5/2020,1704983
8/11/2020,1576779
1/7/2021,1665668
4/8/2021,1774299
10/4/2021,1938031
9/15/2022,2020888
12/22/2023,2785520
6/29/2018,5569
12/13/2019,3030270
7/10/2020,1822803
7/21/2021,1964658
10/9/2021,2122749
1/30/2022,2084527
7/25/2022,2109931
1/13/2023,2139283
7/9/2023,1914127
